               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10282,            0.066482,            0.036408,          0.00069348,            0.048011,           0.0004046,          0.00010157,            0.091169,            0.066282,            0.031691,           0.0033073,           0.0033073,            0.070234
                   1,            0.096832,            0.069587,            0.033036,           0.0011176,            0.039844,          0.00060772,          0.00014325,            0.090538,                 nan,             0.03934,           0.0066187,           0.0066187,            0.040212
                   2,            0.095977,            0.073525,            0.031159,          0.00087109,            0.053041,          0.00051049,          0.00012535,            0.088456,             0.52421,            0.032562,           0.0099081,           0.0099081,            0.010169
                   3,            0.094906,            0.071321,            0.029743,          0.00099927,            0.065449,          0.00063635,          0.00016272,             0.08855,             0.54864,            0.035599,            0.009901,            0.009901,            0.009901
                   4,            0.094118,            0.072427,            0.028829,           0.0015572,             0.07923,           0.0010136,          0.00027369,            0.086912,            0.067999,            0.026633,            0.009901,            0.009901,            0.009901
                   5,            0.094116,            0.074855,            0.026848,           0.0013579,            0.010059,          0.00065629,          0.00016976,            0.087289,            0.068151,            0.025061,            0.009868,            0.009868,            0.009868
                   6,            0.093952,            0.068377,            0.025677,           0.0054206,           0.0086877,           0.0014558,          0.00032982,            0.084234,            0.069321,            0.024087,            0.009835,            0.009835,            0.009835
                   7,            0.092278,            0.072903,            0.024114,             0.67963,            0.012803,           0.0021645,          0.00052612,            0.084863,            0.069576,            0.022797,            0.009802,            0.009802,            0.009802
                   8,            0.090077,            0.073717,            0.022714,             0.68488,            0.040409,           0.0052608,           0.0012421,             0.08075,            0.071708,            0.021452,            0.009769,            0.009769,            0.009769
                   9,            0.085231,            0.075705,            0.021027,              0.7043,             0.04161,            0.011674,           0.0020377,            0.079356,            0.067467,            0.019748,            0.009736,            0.009736,            0.009736
                  10,            0.083332,            0.072491,             0.01921,             0.77381,            0.090992,            0.060102,            0.015004,            0.070648,            0.066744,             0.01824,            0.009703,            0.009703,            0.009703
                  11,            0.079715,            0.066419,            0.018077,             0.75963,             0.11431,            0.067686,            0.019836,            0.065159,            0.060815,            0.017603,             0.00967,             0.00967,             0.00967
                  12,            0.075665,            0.066423,            0.018171,             0.78215,             0.14882,            0.094067,            0.027823,            0.061282,            0.056892,            0.017368,            0.009637,            0.009637,            0.009637
                  13,            0.072273,            0.061167,            0.017246,             0.77354,             0.14632,            0.099802,            0.027318,            0.063005,            0.055476,            0.017709,            0.009604,            0.009604,            0.009604
                  14,            0.069173,            0.060385,            0.018614,             0.84852,             0.18016,             0.15391,             0.06311,            0.053014,             0.05119,            0.016694,            0.009571,            0.009571,            0.009571
                  15,              0.0644,            0.059233,            0.016847,             0.87746,             0.18884,             0.20126,            0.079709,             0.05293,            0.048435,            0.015985,            0.009538,            0.009538,            0.009538
                  16,            0.066332,            0.054934,            0.016538,             0.88424,             0.20942,             0.22609,            0.090272,            0.049683,            0.047602,            0.015078,            0.009505,            0.009505,            0.009505
                  17,            0.061816,            0.054921,            0.016218,             0.91147,              0.2053,             0.26767,             0.10848,            0.047184,             0.04636,            0.014435,            0.009472,            0.009472,            0.009472
                  18,            0.060721,            0.052488,            0.014997,             0.57315,             0.29185,             0.25537,            0.084351,            0.051408,            0.042815,             0.01453,            0.009439,            0.009439,            0.009439
                  19,            0.057713,            0.052391,            0.015336,             0.73543,             0.34812,              0.3288,             0.13332,            0.044425,            0.043605,            0.013444,            0.009406,            0.009406,            0.009406
                  20,            0.057204,             0.04747,            0.013349,             0.63468,             0.28902,             0.26907,             0.10177,            0.055326,            0.041604,            0.012665,            0.009373,            0.009373,            0.009373
                  21,            0.057567,            0.048128,            0.012022,             0.73002,             0.30951,             0.32726,             0.11055,            0.047708,             0.04136,            0.012676,             0.00934,             0.00934,             0.00934
                  22,            0.055881,            0.045363,            0.012131,             0.77628,             0.38725,             0.39689,             0.16613,             0.04169,            0.038745,            0.011147,            0.009307,            0.009307,            0.009307
                  23,             0.05383,            0.045121,            0.011931,             0.77672,             0.38554,             0.41907,             0.18042,            0.044021,             0.03912,            0.010768,            0.009274,            0.009274,            0.009274
